Date,Symbol,Security Name,Client Name,Buy/Sell,Quantity Traded,Trade Price / Wght. Avg. Price,Remarks
17-SEP-2026,RATNAVEER,Ratnaveer Precision Eng L,QE SECURITIES LLP,SELL,1010985,307.31,-
17-SEP-2026,RATNAVEER,Ratnaveer Precision Eng L,JUNOMONETA FINSOL PRIVATE LIMITED,SELL,590441,307.00,-
17-SEP-2026,RATNAVEER,Ratnaveer Precision Eng L,NOPEA CAPITAL SERVICES PRIVATE LIMITED,SELL,621220,290.00,-
17-SEP-2026,RATNAVEER,Ratnaveer Precision Eng L,ARTHKUMBH VENTURES LLP,SELL,200,307.50,-
17-SEP-2026,RATNAVEER,Ratnaveer Precision Eng L,JAINAM BROKING LIMITED,SELL,5000,310.96,-
17-SEP-2026,RATNAVEER,Ratnaveer Precision Eng L,UNITY ASSOCIATES,SELL,14023,305.09,-
17-SEP-2026,RAYMOND,Raymond Ltd.,HRTI PRIVATE LIMITED,SELL,338779,985.22,-
17-SEP-2026,RENTOMOJO,Rentomojo Limited,IRAGE BROKING SERVICES LLP,SELL,1318102,514.45,-
17-SEP-2026,RENTOMOJO,Rentomojo Limited,NK SECURITIES RESEARCH PRIVATE LIMITED,SELL,1202669,510.96,-
17-SEP-2026,RENTOMOJO,Rentomojo Limited,CAPITAL ONE PARTNERS,SELL,546561,513.24,-
17-SEP-2026,RENTOMOJO,Rentomojo Limited,OM TRADING,SELL,538725,516.59,-
17-SEP-2026,RENTOMOJO,Rentomojo Limited,CHIRATAE GROWTH FUND I,SELL,1305000,520.61,-
17-SEP-2026,RENTOMOJO,Rentomojo Limited,ELIXIR WEALTH MANAGEMENT PRIVATE LIMITED,SELL,550080,518.75,-
17-SEP-2026,RENTOMOJO,Rentomojo Limited,GRT STRATEGIC VENTURES LLP,SELL,650788,513.86,-
17-SEP-2026,RENTOMOJO,Rentomojo Limited,MICROCURVES TRADING PRIVATE LIMITED,SELL,1016645,521.67,-
17-SEP-2026,RENTOMOJO,Rentomojo Limited,JUNOMONETA FINSOL PRIVATE LIMITED,SELL,1537142,513.50,-
17-SEP-2026,RENTOMOJO,Rentomojo Limited,MARWADI CHANDARANA INTERMEDIARIES BROKERS PRIVATE LIMITED,SELL,1034098,522.03,-
17-SEP-2026,RIR,RIR Power Electronics L,HRTI PRIVATE LIMITED,SELL,1195302,200.19,-
17-SEP-2026,RIR,RIR Power Electronics L,VINSUL MAKARDI LTD,SELL,490875,200.38,-
17-SEP-2026,RIR,RIR Power Electronics L,SILVERLEAF CAPITAL SERVICES PRIVATE LIMITED,SELL,606249,199.13,-
17-SEP-2026,RIR,RIR Power Electronics L,MICROCURVES TRADING PRIVATE LIMITED,SELL,1763793,200.29,-
17-SEP-2026,RIR,RIR Power Electronics L,QE SECURITIES LLP,SELL,837851,199.80,-
17-SEP-2026,RIR,RIR Power Electronics L,J4S FINANCIAL SOLUTIONS LLP,SELL,658437,199.90,-
17-SEP-2026,RIR,RIR Power Electronics L,NK SECURITIES RESEARCH PRIVATE LIMITED,SELL,1486318,200.81,-
17-SEP-2026,RIR,RIR Power Electronics L,IRAGE BROKING SERVICES LLP,SELL,649410,199.89,-
17-SEP-2026,RIR,RIR Power Electronics L,JUNOMONETA FINSOL PRIVATE LIMITED,SELL,1833154,200.44,-
17-SEP-2026,SHAREINDIA,Share Ind. Securities Ltd,JUNOMONETA FINSOL PRIVATE LIMITED,SELL,2389099,214.80,-
17-SEP-2026,SHAREINDIA,Share Ind. Securities Ltd,MICROCURVES TRADING PRIVATE LIMITED,SELL,1206351,215.90,-
17-SEP-2026,SHAREINDIA,Share Ind. Securities Ltd,HRTI PRIVATE LIMITED,SELL,1991563,214.04,-
17-SEP-2026,STEAMHOUSE,Steamhouse India Limited,MARWADI CHANDARANA INTERMEDIARIES BROKERS PRIVATE LIMITED,SELL,1319658,102.49,-
17-SEP-2026,STEAMHOUSE,Steamhouse India Limited,GRT STRATEGIC VENTURES LLP,SELL,1920549,97.73,-
17-SEP-2026,STEAMHOUSE,Steamhouse India Limited,IRAGE BROKING SERVICES LLP,SELL,2423908,97.16,-
17-SEP-2026,STEAMHOUSE,Steamhouse India Limited,NK SECURITIES RESEARCH PRIVATE LIMITED,SELL,2574129,98.79,-
17-SEP-2026,SUNSHINE,Sunshine Pictures Limited,HRTI PRIVATE LIMITED,SELL,280846,375.29,-
17-SEP-2026,SUNSHINE,Sunshine Pictures Limited,ARIHANT CAPITAL MARKETS LIMITED,SELL,547770,385.03,-
17-SEP-2026,SUNSHINE,Sunshine Pictures Limited,MATHISYS QUANTCAP LLP,SELL,156736,378.16,-
17-SEP-2026,UCL,Ushanti Colour Chem Ltd,SARVAD INFRABUILD LLP,SELL,76000,230.50,-
